ID_Perfume,perfume,brand,price,size,concentrate,top notes,mid notes,base notes,situation,gender,price_per_ml,price_per_ml_clip,combined_notes,price_log,notes_token_count,cluster
HRMN-0906,Sun Montana,Azwary Perfume,225000.0,50.0,Edp,"bergamot, mint, mandarin orange","coriander, lemon, cardamom","musk, amber, vanilla",Day,Unisex,4500.0,4500.0,"bergamot, mint, mandarin orange, coriander, lemon, cardamom, musk, amber, vanilla",12.323860125621126,9,4
HRMN-0907,The Dreamer Men,Azwary Perfume,300000.0,50.0,Edp,"cardamom, bergamot, watermelon","pepper, cinnamon","sandalwood, tonka bean, amber",Night,Male,6000.0,6000.0,"cardamom, bergamot, watermelon, pepper, cinnamon, sandalwood, tonka bean, amber",12.611541086966115,8,3
HRMN-0908,Sinclair Man,Azwary Perfume,525000.0,50.0,Edp,"patchouli, musk, virginia cedar","nutmeg, lychee, yuzu","mint, pine",Versatile,Male,10500.0,10500.0,"patchouli, musk, virginia cedar, nutmeg, lychee, yuzu, mint, pine",13.171155446333852,8,1
HRMN-0909,Romantic Coco Men,Azwary Perfume,175000.0,50.0,Edp,"red pepper, pala, prem, apple","red pepper, basil, jasmine","vanilla, pepper, dark chocolate",Night,Male,3500.0,3500.0,"red pepper, pala, prem, apple, red pepper, basil, jasmine, vanilla, pepper, dark chocolate",12.07254696717504,10,2
HRMN-0910,Red Sapphire,Azwary Perfume,250000.0,50.0,Edp,"red pepper, nutmeg, plum, apple","freesia, peony, jasmine","musk, amber, sandalwood",Night,Male,5000.0,5000.0,"red pepper, nutmeg, plum, apple, freesia, peony, jasmine, musk, amber, sandalwood",12.429220196836383,10,1
HRMN-0911,Marseille,Azwary Perfume,250000.0,50.0,Edp,"orange, mint leaves, litchi, lotus",raspberry,"sandalwood, amber, musk",Day,Male,5000.0,5000.0,"orange, mint leaves, litchi, lotus, raspberry, sandalwood, amber, musk",12.429220196836383,8,4
HRMN-0912,Dell Matinno,Azwary Perfume,575000.0,50.0,Edp,"apple, corriander, cassia","clove, peach, carnation","sandalwood, oakmoss, vetiver",Day,Male,11500.0,11500.0,"apple, corriander, cassia, clove, peach, carnation, sandalwood, oakmoss, vetiver",13.26212705890841,9,2
HRMN-0913,Amour de Jasmine,Azwary Perfume,225000.0,50.0,Edp,"magnolia, lotus","vanilla, cinnamon, musk","jasmine, tuberose",Day,Female,4500.0,4500.0,"magnolia, lotus, vanilla, cinnamon, musk, jasmine, tuberose",12.323860125621126,7,4
HRMN-0914,Hunny Women,Azwary Perfume,175000.0,50.0,Edp,"musk, lily, ylang ylang","musk, rose, lotus","vetiver, musk, vanilla",Day,Female,3500.0,3500.0,"musk, lily, ylang ylang, musk, rose, lotus, vetiver, musk, vanilla",12.07254696717504,9,0
HRMN-0915,Sinclair Women,Azwary Perfume,525000.0,50.0,Edp,"bergamot, pomelo, red current","orchid, cactus","vanilla, amber, red cedar",Day,Female,10500.0,10500.0,"bergamot, pomelo, red current, orchid, cactus, vanilla, amber, red cedar",13.171155446333852,8,2
HRMN-0916,D'queen,Azwary Perfume,400000.0,50.0,Edp,"passion fruit, bergamot, green apple","violet, orchid, jasmine","amber, musk, cedar",Day,Female,8000.0,8000.0,"passion fruit, bergamot, green apple, violet, orchid, jasmine, amber, musk, cedar",12.899222326086994,9,1
